"","지역","대여건수","지하철","평균기온","평균습도","평균풍속","강수량","이산화질소농도","일산화탄소농도","아황산가스농도","미세먼지량","초미세먼지량","버스","계절","WeekDay","강수량수준"
"171","군집 5",116,479459,0,45.70000076,0.5,0,0.064,1.1,0.008,73,52,392794,"겨울",0,"1mm미만"
"172","군집 2",46,219326,-0.400000006,50.90000153,0.5,0,0.062,1.1,0.008,69,46,303037,"겨울",0,"1mm미만"
"173","군집 5",240,441777,0.400000006,42.90000153,1.299999952,0,0.069,0.8,0.008,69,54,475917,"겨울",0,"1mm미만"
"174","군집 5",133,586118,1.299999952,48.5,1.799999952,0,0.068,1,0.006,73,55,497206,"겨울",0,"1mm미만"
"175","군집 6",813,784955,0.600000024,51.09999847,0.899999976,0,0.062,1,0.006,72,54,424083,"겨울",0,"1mm미만"
"176","군집 5",336,161123,0.899999976,42.79999924,1.700000048,0,0.062,0.8,0.005,73,37,550975,"겨울",0,"1mm미만"
"177","군집 4",488,405834,0.400000006,50.5,1.399999976,0,0.055,0.8,0.007,69,52,245603,"겨울",0,"1mm미만"
"178","군집 5",164,391428,0.400000006,44.29999924,0.899999976,0,0.065,1.1,0.008,75,49,540897,"겨울",0,"1mm미만"
"179","군집 3",276,681611,0.300000012,48.40000153,0.899999976,0,0.055,1,0.007,68,43,528247,"겨울",0,"1mm미만"
"180","군집 2",93,180933,1.200000048,46.70000076,1.100000024,0,0.066,1.1,0.006,66,53,369956,"겨울",0,"1mm미만"
"181","군집 2",143,357193,1.799999952,26.60000038,1,0,0.062,0.7,0.006,66,47,339812,"겨울",0,"1mm미만"
"182","군집 5",178,417854,0.800000012,44.20000076,1.200000048,0,0.069,1.1,0.006,66,45,437075,"겨울",0,"1mm미만"
"183","군집 7",371,1014245,0.100000001,46,1.100000024,0,0.064,1.1,0.006,63,48,329836,"겨울",0,"1mm미만"
"184","군집 2",115,242376,0.5,46.20000076,1.299999952,0,0.07,0.9,0.008,64,46,313432,"겨울",0,"1mm미만"
"185","군집 1",154,991354,0.600000024,49.29999924,2,0,0.032,0.5,0.006,72,44,451844,"겨울",1,"1mm미만"
"186","군집 2",146,240554,1,37.09999847,3,0,0.042,0.9,0.005,83,47,180074,"겨울",1,"1mm미만"
"187","군집 2",69,105111,0.699999988,51,1.899999976,0,0.026,0.5,0.006,73,37,347524,"겨울",1,"1mm미만"
"188","군집 3",168,308896,0.5,51.20000076,2.5,0,0.035,0.3,0.008,67,49,520449,"겨울",1,"1mm미만"
"189","군집 4",307,396679,1,50.20000076,2.400000095,0,0.04,0.8,0.005,79,40,184118,"겨울",1,"1mm미만"
"190","군집 5",119,448837,0.400000006,50.5,3.299999952,0,0.024,0.6,0.008,88,48,352881,"겨울",1,"1mm미만"
"191","군집 2",42,93400,0.899999976,45.29999924,2.599999905,0,0.035,0.6,0.006,75,43,245002,"겨울",1,"1mm미만"
"192","군집 5",123,352936,0.200000003,47.70000076,1.5,0,0.034,0.7,0.006,74,42,282874,"겨울",1,"1mm미만"
"193","군집 2",32,167023,0.5,50,1.700000048,0,0.028,0.6,0.006,81,39,228072,"겨울",1,"1mm미만"
"194","군집 5",200,372248,0.699999988,46.20000076,2.200000048,0,0.03,0.5,0.007,73,45,366044,"겨울",1,"1mm미만"
"195","군집 5",122,441004,0.899999976,53.09999847,2.5,0,0.03,0.5,0.005,74,45,356696,"겨울",1,"1mm미만"
"196","군집 6",607,684932,0.200000003,54.5,1.899999976,0,0.03,0.6,0.005,74,49,304014,"겨울",1,"1mm미만"
"197","군집 5",274,99712,0,50.20000076,2.200000048,0,0.031,0.5,0.004,84,37,398127,"겨울",1,"1mm미만"
"198","군집 4",311,274456,0.699999988,49.90000153,2.5,0,0.031,0.6,0.006,83,49,175672,"겨울",1,"1mm미만"
"199","군집 5",127,295401,0.5,48.5,2,0,0.033,0.7,0.006,76,41,404863,"겨울",1,"1mm미만"
"200","군집 3",209,494320,1.200000048,47.20000076,1.600000024,0,0.033,0.7,0.005,80,42,371264,"겨울",1,"1mm미만"
"201","군집 2",75,123470,0.5,50.29999924,1.799999952,0,0.035,0.6,0.006,72,49,264267,"겨울",1,"1mm미만"
"202","군집 2",126,304177,1.200000048,32.20000076,2.400000095,0,0.029,0.5,0.005,70,46,248398,"겨울",1,"1mm미만"
"203","군집 5",186,300514,0,50.29999924,2.799999952,0,0.036,0.8,0.005,80,43,328381,"겨울",1,"1mm미만"
"204","군집 7",151,703466,-0.100000001,51,2.599999905,0,0.031,0.6,0.005,64,40,231317,"겨울",1,"1mm미만"
"205","군집 2",118,183903,0.699999988,51,2.5,0,0.042,0.7,0.007,66,37,240858,"겨울",1,"1mm미만"
"206","군집 1",98,591843,-5.199999809,40.79999924,2.099999905,0,0.016,0.4,0.005,47,13,313322,"겨울",1,"1mm미만"
"207","군집 2",66,168672,-4.699999809,29.89999962,3.200000048,0,0.019,0.4,0.005,60,17,138978,"겨울",1,"1mm미만"
"208","군집 2",47,77503,-5.199999809,40.5,1.899999976,0,0.013,0.4,0.004,51,14,264096,"겨울",1,"1mm미만"
"209","군집 3",106,222516,-5.300000191,37.59999847,2.200000048,0,0.022,0.1,0.008,44,16,400361,"겨울",1,"1mm미만"
"210","군집 4",225,291650,-4.599999905,40.20000076,2.5,0,0.018,0.4,0.004,51,14,138985,"겨울",1,"1mm미만"
"211","군집 5",84,328891,-5.300000191,43.79999924,3.200000048,0,0.015,0.5,0.007,61,20,265916,"겨울",1,"1mm미만"
"212","군집 2",23,66585,-4.900000095,37.90000153,2.400000095,0,0.021,0.4,0.005,48,15,181131,"겨울",1,"1mm미만"
"213","군집 5",82,256021,-5.199999809,37.20000076,1.600000024,0,0.013,0.4,0.006,52,15,212430,"겨울",1,"1mm미만"
"214","군집 2",21,123503,-5.400000095,39.90000153,1.399999976,0,0.01,0.3,0.005,59,14,169910,"겨울",1,"1mm미만"
"215","군집 5",140,257853,-5,36,2.799999952,0,0.018,0.4,0.006,50,14,264103,"겨울",1,"1mm미만"
"216","군집 5",80,308439,-4.800000191,45.20000076,2.799999952,0,0.018,0.3,0.004,49,14,271683,"겨울",1,"1mm미만"
"217","군집 6",375,476874,-5.5,48.20000076,1.700000048,0,0.017,0.4,0.005,47,17,225773,"겨울",1,"1mm미만"
"218","군집 5",185,66906,-5.800000191,43.40000153,1.899999976,0,0.02,0.3,0.004,57,14,298188,"겨울",1,"1mm미만"
"219","군집 4",181,187997,-5,41.90000153,2.700000048,0,0.014,0.3,0.005,59,16,125726,"겨울",1,"1mm미만"
"220","군집 5",86,210634,-5.300000191,37.40000153,2.099999905,0,0.018,0.4,0.006,56,14,306459,"겨울",1,"1mm미만"
"221","군집 3",124,347280,-4.400000095,38.79999924,1.5,0,0.013,0.4,0.005,61,15,277076,"겨울",1,"1mm미만"
"222","군집 2",42,85003,-5,43.70000076,1.700000048,0,0.021,0.4,0.004,46,15,192842,"겨울",1,"1mm미만"
"223","군집 2",76,229491,-4.5,23.29999924,2.400000095,0,0.018,0.3,0.004,47,15,192859,"겨울",1,"1mm미만"
"224","군집 5",101,211726,-5.900000095,44,2.700000048,0,0.021,0.7,0.005,60,16,243092,"겨울",1,"1mm미만"
"225","군집 7",119,488599,-6.099999905,42.29999924,2.599999905,0,0.017,0.4,0.004,43,14,152612,"겨울",1,"1mm미만"
"226","군집 2",72,129765,-5.099999905,40.40000153,2.400000095,0,0.02,0.5,0.006,47,13,175341,"겨울",1,"1mm미만"
"227","군집 1",173,1491284,-5.199999809,41.5,2,0,0.024,0.4,0.005,44,13,709599,"겨울",0,"1mm미만"
"228","군집 2",86,317965,-4.800000191,31.29999924,3.099999905,0,0.023,0.4,0.005,55,19,235616,"겨울",0,"1mm미만"
"229","군집 2",48,129319,-5.199999809,40.90000153,1.700000048,0,0.015,0.4,0.004,45,12,415673,"겨울",0,"1mm미만"
"230","군집 3",125,375159,-5.300000191,43.40000153,2.200000048,0,0.028,0.1,0.008,41,17,650814,"겨울",0,"1mm미만"
"231","군집 4",326,447283,-4.699999809,40.79999924,2.400000095,0,0.023,0.4,0.004,49,14,232365,"겨울",0,"1mm미만"
"232","군집 5",161,591899,-5.199999809,42.29999924,3,0,0.018,0.4,0.007,57,20,476769,"겨울",0,"1mm미만"
"233","군집 2",68,207181,-4.900000095,37.40000153,2.200000048,0,0.028,0.4,0.005,46,15,331093,"겨울",0,"1mm미만"
"234","군집 5",89,456229,-5.400000095,37.5,1.299999952,0,0.015,0.4,0.006,48,15,368143,"겨울",0,"1mm미만"
"235","군집 2",23,208071,-5.5,40,1.399999976,0,0.012,0.4,0.005,55,14,293251,"겨울",0,"1mm미만"
"236","군집 5",230,416790,-5,36.29999924,2.700000048,0,0.022,0.5,0.006,46,14,461246,"겨울",0,"1mm미만"
"237","군집 5",102,541136,-4.699999809,44.40000153,2.799999952,0,0.023,0.4,0.004,46,14,479262,"겨울",0,"1mm미만"
"238","군집 6",632,725529,-5.400000095,46.79999924,1.700000048,0,0.022,0.4,0.005,43,16,409131,"겨울",0,"1mm미만"
"239","군집 5",298,155383,-5.699999809,42.29999924,1.899999976,0,0.023,0.3,0.004,55,14,529210,"겨울",0,"1mm미만"
"240","군집 4",369,387549,-4.800000191,41.70000076,2.5,0,0.02,0.3,0.005,56,17,236824,"겨울",0,"1mm미만"
"241","군집 5",125,373434,-5.400000095,37.90000153,1.899999976,0,0.021,0.4,0.006,51,14,517235,"겨울",0,"1mm미만"
"242","군집 3",212,647265,-4.599999905,41,1.600000024,0,0.018,0.3,0.005,57,15,500225,"겨울",0,"1mm미만"
"243","군집 2",70,174579,-5,41.90000153,1.600000024,0,0.024,0.4,0.004,42,14,353197,"겨울",0,"1mm미만"
"244","군집 2",90,310272,-4.5,23,2.400000095,0,0.022,0.3,0.004,41,13,321633,"겨울",0,"1mm미만"
"245","군집 5",153,398203,-5.800000191,42,2.599999905,0,0.025,0.6,0.004,57,16,416694,"겨울",0,"1mm미만"
"246","군집 7",258,963612,-6.099999905,41.90000153,2.5,0,0.021,0.4,0.004,39,14,313725,"겨울",0,"1mm미만"
"247","군집 2",89,232395,-5.199999809,41.29999924,2.200000048,0,0.024,0.5,0.006,45,13,306437,"겨울",0,"1mm미만"
"248","군집 1",257,1502226,-0.200000003,54.20000076,1.200000048,0,0.031,0.5,0.006,45,15,718456,"겨울",0,"1mm미만"
"249","군집 2",134,320152,0.100000001,44.79999924,1.899999976,0,0.037,0.6,0.004,62,19,239333,"겨울",0,"1mm미만"
"250","군집 2",72,129532,-0.200000003,55,1.899999976,0,0.03,0.5,0.005,47,14,425789,"겨울",0,"1mm미만"
"251","군집 3",197,383175,-0.300000012,55.40000153,2.099999905,0,0.033,0.2,0.008,43,17,665539,"겨울",0,"1mm미만"
